Pais ;Individuo ;B.T;E.T;L.F;H.F;M.T;E;MA.E;M.F;M.P;MI.E;P.F;L
Venezuela;27;863;1.319;854;3659.4;888;102.3;4.707;3273;90.6;1.925;3273;79
Venezuela;27;2.527;2.936;656.8;4128.5;2.601;103.5;4.774;1636.5;94.3;1.983;1636.5;70
Venezuela;27;3.422;3.595;469.1;3002.6;3.448;94.9;4.319;1636.5;85.9;1.528;1636.5;30
Venezuela;27;4.756;5.133;93.8;3565.5;4.83;104.1;4.683;1636.5;94.1;1.42;1636.5;65
Venezuela;27;5.369;5.463;93.8;3284;5.381;88.3;4.327;1292;76.3;3.359;1292;17
Venezuela;27;4.477;4.704;518;3107.7;4.621;95.2;3.739;1464.3;86.4;1.437;1464.3;63
Venezuela;27;5.181;5.492;148;3847.7;5.259;97;4.512;1464.3;85.7;1.625;1464.3;42
Venezuela;27;4.477;643;518;3107.7;4.754;97;3.739;1464.3;86.4;1.437;1464.3;67
Venezuela;27;5.181;5.492;148;3847.7;5.259;97;4.512;1464.3;85.7;1.625;1464.3;46
Venezuela;27;12.134;12.652;187.7;3565.5;12.249;102.2;4.734;1636.5;92.2;1.367;1636.5;89
Venezuela;28;2.308;3.718;194.3;3302.6;2.461;107.1;4.651;1808.8;95.1;1.419;1808.8;243
Venezuela;28;6.796;7.501;643;3302.6;7.036;106.5;4.714;1808.8;95.8;1.504;1808.8;122
Venezuela;28;13.912;15.771;644;3885.5;15.65;113.8;4.887;1808.8;99.6;1.948;1808.8;320
Venezuela;28;19.81;20.323;97.1;3691.2;19.865;108.8;4.743;1808.8;96.4;1.931;1808.8;88
Venezuela;28;25.772;27.311;754;3691.2;25.913;113.7;4.925;1808.8;101.6;1.622;1808.8;265
Venezuela;28;4.477;4.704;518;3107.7;4.621;95.2;3.739;1464.3;86.4;1.437;1464.3;67
Venezuela;28;5.181;5.492;148;3847.7;5.259;97;4.512;1464.3;85.7;1.625;1464.3;100
Venezuela;28;33.529;34.491;574;3302.6;33.53;107.8;4.66;1550.4;99.3;2.021;1550.4;166
Venezuela;28;37.44;38.979;194.3;3691.2;37.732;109.8;4.761;1550.4;96.9;1.49;1550.4;265
Venezuela;29;1.129;4.391;185.3;3520.6;2.345;122.6;4.829;1722.7;103.9;2.428;1722.7;562
Venezuela;29;9.033;13.048;453;3335.3;12.788;120.3;4.828;1550.4;99.9;1.666;1550.4;691
Venezuela;29;17.314;20.199;185.3;3520.6;17.734;118.7;4.754;1550.4;101.4;1.43;1550.4;497
Venezuela;29;24.214;27.727;567;3520.6;27.69;119.1;4.628;1550.4;101.6;1.542;1550.4;605
Venezuela;29;32.871;35.756;743.3;3705.9;33.338;120.8;4.811;1722.7;105;1.331;1722.7;497
Venezuela;29;40.273;42.657;456;3613.2;41.233;115.8;4.817;1464.3;100.8;1.761;1464.3;411
Venezuela;29;63.609;66.243;277.9;3798.5;65.167;114.6;4.834;1808.8;102.5;1.739;1808.8;454
Venezuela;29;23.943;25.928;732;4025.7;24.602;116.3;4.771;1722.7;103.3;1.482;1722.7;342
Venezuela;29;69.882;72.516;92.6;3427.9;72.121;114;4.747;1636.5;101.2;1.411;1636.5;454
Venezuela;29;75.778;80.295;853;3242.6;77.88;116.8;4.725;1550.4;101.4;1.827;1550.4;778
Venezuela;30;1.63;1.833;346.3;4848.7;2.229;108.8;4.799;3186.9;93.8;1.916;3186.9;193
Venezuela;30;3.611;4.154;230.9;4156;3.616;111.4;4.777;1550.4;100.1;2.003;1550.4;93
Venezuela;30;4.794;5.848;1039;5195;5.039;112.8;4.891;1722.7;97.8;1.771;1722.7;182
Venezuela;30;6.807;7.83;578;4271.5;7.32;110.9;4.914;1550.4;96;2.142;1550.4;176
Venezuela;30;8.437;9.236;692.7;6234;8.586;116.8;4.651;1550.4;104;1.768;1550.4;137
Venezuela;30;10.322;11.153;987;6003.1;10.437;118.5;5.089;1722.7;106;1.825;1722.7;143
Venezuela;30;12.336;13.326;876;5310.5;12.643;112.5;05.07;3186.9;96.6;2.424;3186.9;171
Venezuela;30;14.029;14.956;346.3;5079.6;14.106;114;4.926;1464.3;100.1;2.364;1464.3;160
Venezuela;30;16.394;17.385;230.9;5425.9;16.562;116.6;4.819;3703.7;103.7;1.741;3703.7;170
Venezuela;30;18.599;19.622;535.2;5656.8;18.64;116.6;4.933;1550.4;104.7;2.291;1550.4;177
Costa Rica;31;4.18;1.671;456;5415.8;580;118.5;5.387;1550.4;104;1.999;1550.4;216
Costa Rica;31;3.759;4.929;483.6;5705.9;3.994;120.3;5.26;3014.6;104.8;2.052;3014.6;202
Costa Rica;31;6.6;8.271;274.5;5415.8;6.85;122.1;5.188;3359.2;107;2.024;3359.2;288
Costa Rica;31;9.733;10.693;677;6092.8;9.793;122.2;5.194;1464.3;106.7;1.826;1464.3;166
Costa Rica;31;12.323;13.409;193.4;6092.8;12.37;121.5;5.39;1464.3;106.2;1.652;1464.3;187
Costa Rica;31;15.831;16.959;483.6;5609.2;16.028;121.5;5.283;1550.4;107.4;1.704;1550.4;194
Costa Rica;31;18.505;19.131;274.5;5319.1;18.918;116.8;5.101;3100.8;103.9;1.924;3100.8;108
Costa Rica;31;24;22.39;543;5609.2;21.328;118.8;5.477;3014.6;105.4;1.76;3014.6;232
Costa Rica;31;24.019;25.355;568;4255.3;24.584;117.9;5.168;1550.4;104.7;1.766;1550.4;246
Costa Rica;31;21.095;22.39;456;5609.2;21.328;118.8;5.477;3014.6;105.4;1.76;3014.6;223
Costa Rica;31;24.019;25.355;327;4255.3;24.584;117.9;5.168;1550.4;104.7;1.766;1550.4;230
Costa Rica;32;132;686;378.5;4069.3;192;113;4.858;1894.9;101.1;1.577;1894.9;96
Costa Rica;32;1.055;1.635;189.3;4258.6;1.277;111;5.023;3186.9;100.8;1.773;3186.9;100
Costa Rica;32;3.429;3.93;45;4637.1;3.489;116.2;4.97;3617.6;103.1;2.072;3617.6;87
Costa Rica;32;4.168;4.563;547;3312.2;4.238;109.6;4.317;3186.9;101.1;1.634;3186.9;69
Costa Rica;32;6.621;7.122;675;4069.3;6.838;117;4.476;3876;102.6;1.923;3876;86
Costa Rica;32;7.465;7.86;678;3880;7.488;107.3;4.731;1464.3;100.1;1.673;1464.3;69
Costa Rica;32;7.008;8.876;549;3842.7;7.018;109.8;4.637;1722.7;97.5;1.524;1722.7;322
Costa Rica;32;10.161;12.263;457.5;3751.2;10.339;108.9;4.736;1636.5;95.4;1.515;1636.5;362
Costa Rica;32;9.153;10.05;479;3785.4;9.433;115.4;5.042;3359.2;102.9;1.783;3359.2;155
Costa Rica;32;12.371;13.004;662.4;3880;12.69;117.9;4.734;3876;105;1.594;3876;109
Costa Rica;32;13.294;13.69;757.1;3217.6;13.357;108.9;3.857;1464.3;98;1.864;1464.3;68
Costa Rica;32;15.642;16.116;456;4353.2;15.824;114.4;4.642;3789.8;102.6;2.035;3789.8;82
Costa Rica;33;132;686;378.5;4069.3;192;113;4.858;1894.9;101.1;1.577;1894.9;96
Costa Rica;33;1.055;1.635;189.3;4258.6;1.277;111;5.023;3186.9;100.8;1.773;3186.9;100
Costa Rica;33;3.429;3.93;45;4637.1;3.489;116.2;4.97;3617.6;103.1;2.072;3617.6;87
Costa Rica;33;4.168;4.563;547;3312.2;4.238;109.6;4.317;3186.9;101.1;1.634;3186.9;69
Costa Rica;33;6.621;7.122;675;4069.3;6.838;117;4.476;3876;102.6;1.923;3876;86
Costa Rica;33;7.465;7.86;678;3880;7.488;107.3;4.731;1464.3;100.1;1.673;1464.3;69
Costa Rica;33;7.008;8.876;549;3842.7;7.018;109.8;4.637;1722.7;97.5;1.524;1722.7;322
Costa Rica;33;10.161;12.263;457.5;3751.2;10.339;108.9;4.736;1636.5;95.4;1.515;1636.5;362
Costa Rica;33;9.153;10.05;479;3785.4;9.433;115.4;5.042;3359.2;102.9;1.783;3359.2;155
Costa Rica;33;12.371;13.004;662.4;3880;12.69;117.9;4.734;3876;105;1.594;3876;109
Costa Rica;33;13.294;13.69;757.1;3217.6;13.357;108.9;3.857;1464.3;98;1.864;1464.3;68
Costa Rica;33;15.642;16.116;456;4353.2;15.824;114.4;4.642;3789.8;102.6;2.035;3789.8;82
Costa Rica;34;9;1.869;422.4;3717.2;1.254;104.4;4.089;1636.5;93.2;1.565;1636.5;181
Costa Rica;34;3.971;5.723;760.3;3632.8;3.982;108.7;4.573;1636.5;94.9;1.555;1636.5;301
Costa Rica;34;27.213;28.498;183;3842.7;27.98;114.2;4.129;1722.7;101;1.391;1722.7;222
Costa Rica;34;30.717;33.754;183;4757.7;31.597;118.5;3.814;1722.7;107.1;1.933;1722.7;523
Costa Rica;34;6.424;8.76;844.8;3717.2;7.018;110.9;4.502;1722.7;97.5;1.354;1722.7;402
Costa Rica;34;10.044;11.796;675.9;3717.2;10.13;109.9;4.655;1722.7;95.6;1.515;1722.7;302
Costa Rica;34;12.731;14.95;84.5;3548.3;13.05;117.2;4.476;1722.7;100.8;176;1722.7;382
Costa Rica;34;17.286;19.271;337.9;3801.7;18.332;118.4;4.689;1722.7;104.5;1.282;1722.7;342
Costa Rica;34;20.556;22.308;84.5;3886.2;20.921;116;4.812;1722.7;101.6;864;1722.7;301
Costa Rica;34;23.476;24.994;422.4;3801.7;24.602;117.6;4.449;1722.7;103.3;1.483;1722.7;261
Costa Rica;34;26.629;28.965;422.4;4139.7;27.98;115.1;4.796;1722.7;101;1.388;1722.7;402
Costa Rica;34;31.067;33.286;84.5;4646.6;31.597;118.5;4.885;1722.7;107.1;742;1722.7;383
Costa Rica;34;35.155;36.673;455;3970.7;35.852;110.2;4.436;1636.5;97.6;1.126;1636.5;261
Costa Rica;35;1.23;2.648;1429.2;6839.6;1.649;122.2;5.278;3273;109.7;1.969;3273;245
Costa Rica;35;3.736;05.06;204.2;5512.5;4.168;123.2;5.353;3273;109.7;1.503;3273;228
Costa Rica;35;6.715;7.803;306.2;5206.2;7.14;123.1;5.359;1722.7;111.2;1.876;1722.7;188
Costa Rica;35;11.68;13.099;612.5;5206.2;12.219;125.4;5.158;3359.2;110.8;1.728;3359.2;244
Costa Rica;35;16.788;17.733;714.6;5206.2;16.858;123.4;5.14;3186.9;109.6;1.921;3186.9;163
Costa Rica;35;4.18;1.671;456;5415.8;580;118.5;5.387;1550.4;104;1.999;1550.4;87
Costa Rica;35;21.375;22.226;510.4;5308.3;21.467;123.6;5.29;3100.8;110.5;1.833;3100.8;146
Costa Rica;35;27.097;27.664;306.2;4491.7;27.365;118.7;5.271;3273;107.8;1.532;3273;98
Costa Rica;35;26.103;26.529;918.8;4900;26.291;122.8;4.828;3186.9;109.3;1.794;3186.9;74
Costa Rica;35;27.097;27.664;306.2;4491.7;27.365;118.7;5.271;3273;107.8;1.532;3273;98
Costa Rica;35;40.479;41.141;816.7;4389.6;40.739;120.5;4.797;3359.2;108.5;1.54;3359.2;114
Costa Rica;36;1.689;2.689;280.3;4578.2;1.927;115.7;4.068;1636.5;101.7;1.575;1636.5;173
Costa Rica;36;4.447;5.481;560.6;3924.2;4.986;117.7;4.499;1550.4;105;1.675;1550.4;178
Costa Rica;36;6.584;7.17;467.2;3924.2;6.751;105.4;4.569;1550.4;94.8;1.525;1550.4;101
Costa Rica;36;7.756;8.618;186.9;3924.2;7.935;107.4;4.843;1550.4;96;1.442;1550.4;148
Costa Rica;36;8.652;9.066;934.3;3270.1;8.742;108.2;3.652;1636.5;98.5;1.375;1636.5;71
Costa Rica;36;10.41;11.238;467.2;3176.7;10.762;103.5;4.577;2239.5;91.6;1.297;2239.5;142
Costa Rica;36;27.097;27.664;306.2;4491.7;27.365;118.7;5.271;3273;107.8;1.532;3273;98
Costa Rica;36;14.857;15.237;560.6;3550.4;14.861;102.7;4.051;1550.4;93.6;2.726;1550.4;65
Costa Rica;36;19.201;19.752;280.3;3363.6;19.313;99.9;4.334;1808.8;87.3;1.305;1808.8;95
Costa Rica;36;22.855;23.441;280.3;3830.7;22.935;106.9;4.494;1550.4;94.8;2.229;1550.4;101
Costa Rica;36;26.647;27.302;560.6;4111;26.651;105.5;4.464;1636.5;95.7;2.172;1636.5;113
Costa Rica;36;29.956;30.783;186.9;3924.2;30.244;106.8;4.69;1550.4;95.3;1.6;1550.4;142
Costa Rica;37;7.47;2.195;606.9;3742.4;1.039;114.5;4.649;1636.5;100.5;1.401;1636.5;250
Costa Rica;37;3.176;3.876;101.1;3843.6;3.222;111.5;4.207;1464.3;100.6;1.81;1464.3;120
Costa Rica;37;5.324;5.978;606.9;3641.3;5.335;109.6;4.384;1464.3;96.2;2.218;1464.3;112
Costa Rica;37;7.799;8.5;563;3944.7;7.819;112.7;4.658;1636.5;99.1;1.851;1636.5;121
Costa Rica;37;1.23;2.648;1429.2;6839.6;1.649;122.2;5.278;3273;109.7;1.969;3273;245
Costa Rica;37;3.736;05.06;204.2;5512.5;4.168;123.2;5.353;3273;109.7;1.503;3273;228
Costa Rica;37;9.107;9.808;353;3439;9.485;107.5;4.279;2928.5;95.8;1.683;2928.5;121
Costa Rica;37;10.555;11.582;765;3439;10.675;114.4;4.293;1636.5;101.9;1.479;1636.5;177
Costa Rica;37;12.797;13.637;456;3439;13.015;113.3;4.712;1550.4;101.4;1.833;1550.4;145
Costa Rica;37;14.525;15.505;202.3;2933.3;14.971;110.3;4.408;1550.4;99.4;1.223;1550.4;169
Costa Rica;37;16.299;16.72;505.7;3337.8;16.353;109.2;4.259;1550.4;96.6;1.982;1550.4;73
Costa Rica;37;17.327;18.167;101.1;3034.4;17.363;110.2;4.243;1550.4;95.8;1.369;1550.4;145
Costa Rica;38;33;1.433;205;5292.8;757;114.5;5.084;1593.8;100.6;1.484;1593.8;210
Costa Rica;38;3.053;3.521;365;3741.4;3.168;110.7;4.435;1593.8;102.1;1.423;1593.8;88
Costa Rica;38;5.577;6.324;182.5;3832.7;5.717;113.6;4.448;1593.8;102.3;1.371;1593.8;140
Costa Rica;38;04.05;4.424;175;3650.2;4.059;99.3;4.712;1500;87.3;2.708;1500;70
Costa Rica;38;5.577;563;754;3832.7;5.717;113.6;4.448;1593.8;102.3;1.371;1593.8;140
Costa Rica;38;5.577;6.324;182.5;3832.7;5.717;113.6;4.448;1593.8;102.3;1.371;1593.8;140
Costa Rica;38;6.761;7.321;182.5;3285.2;7.051;103.5;4.571;1500;92.1;02.03;1500;105
Costa Rica;38;8.63;9.315;547.5;3558.9;8.848;114.6;4.107;1593.8;101.1;1.379;1593.8;128
Costa Rica;38;9.907;10.406;273.8;3832.7;10.064;103.8;4.625;1593.8;91.7;2.303;1593.8;94
Costa Rica;38;11.527;12.244;432;3558.9;11.712;112.1;4.316;1593.8;99.8;1.431;1593.8;134
Costa Rica;38;13.957;14.892;365;5475.3;14.155;113;5.215;1593.8;100;1.461;1593.8;175
Costa Rica;38;16.575;17.26;424;3011.4;16.667;112.9;4.093;1593.8;103.5;1.26;1593.8;129
Costa Rica;38;312;1.433;638.8;3558.9;19.205;112.1;4.222;1875;98.9;1.564;1875;152
Costa Rica;39;263;657;425;4217.6;406;95.5;4.704;1550.4;82.7;1.783;1550.4;68
Costa Rica;39;2.053;2.28;739.9;4069.6;2.148;94.1;4.388;1550.4;82.5;1.592;1550.4;39
Costa Rica;39;2.053;3.52;739.9;5252.2;2.148;94.1;4.388;1550.4;82.5;1.592;1550.4;44
Costa Rica;39;2.853;3.176;665.9;4957.6;3.007;94.5;4.559;3186.9;83.8;1.507;3186.9;56
Costa Rica;39;2.053;2.28;739.9;4069.6;2.148;94.1;4.388;1550.4;82.5;1.592;1550.4;79
Costa Rica;39;3.963;4.178;678;3551.7;4.063;93.7;4.072;1464.3;85.3;1.471;1464.3;37
Costa Rica;39;4.477;4.704;518;3107.7;4.621;95.2;3.739;1464.3;86.4;1.437;1464.3;57
Costa Rica;39;7.851;8.225;3399.1;6489.3;8.011;98.9;4.658;6000;81.7;3.192;6000;36
Costa Rica;39;4.477;4.704;518;3107.7;4.621;95.2;3.739;1464.3;86.4;1.437;1464.3;39
Costa Rica;39;5.181;5.492;148;3847.7;5.259;97;4.512;1464.3;85.7;1.625;1464.3;54
Costa Rica;39;5.874;5.993;370;3699.7;5.898;90.7;4.308;2928.5;81.4;2.363;2928.5;21
Costa Rica;40;4.36;8.1;309;4635.2;757;113.6;4.926;1593.8;100.6;1.481;1593.8;70
Costa Rica;40;19;16.3;578;3085.2;16.7;107.2;3.435;1662;98;1.253;1550.4;46
Costa Rica;40;16.372;16.906;363;2994.4;16.393;110.1;4.033;1550.4;99.9;1.313;1550.4;92
Costa Rica;40;5.514;7.072;206;3193.1;5.717;115.1;4.525;1593.8;102.3;1.288;1593.8;293
Costa Rica;40;5.874;5.993;370;3699.7;5.898;90.7;4.308;2928.5;81.4;2.363;2928.5;21
Costa Rica;40;7.851;8.225;3399.1;6489.3;8.011;98.9;4.658;6000;81.7;3.192;6000;70
Costa Rica;40;8.786;9.347;103;2884.1;8.848;112.1;3.905;1593.8;101.1;1.258;1593.8;105
Costa Rica;40;10.001;10.437;2163.1;6283.3;10.08;100.7;5.034;3093.8;82.7;2.64;3093.8;81
Costa Rica;40;11.714;11.87;2369.1;6283.3;11.723;98.5;4.884;3093.8;89;3.286;3093.8;29
Costa Rica;40;27.097;27.664;306.2;4491.7;27.365;118.7;5.271;3273;107.8;1.532;3273;98
Costa Rica;40;12.649;13.085;1957.1;6489.3;12.741;99.8;4.973;5812.5;84.2;3.637;5812.5;82
Costa Rica;40;13.802;14.3;2781.1;6798.3;14.293;101.5;4.845;3281.2;87.1;1.847;3281.2;94
Ecuador;41;1.438;2.804;602.5;5060.7;1.927;115.9;4.439;1636.5;101.7;1.489;1636.5;236
Ecuador;41;4.422;4.889;169;5060.7;4.499;106.4;4.82;1550.4;95.6;1.685;1550.4;81
Ecuador;41;5.249;5.932;134;4217.2;5.445;105;4.451;3014.6;93.5;2.105;3014.6;117
Ecuador;41;6.651;7.334;241;4096.7;6.751;105.4;4.764;1550.4;94.8;1.526;1550.4;118
Ecuador;41;7.765;8.592;120.5;3735.2;7.935;107.3;4.851;1550.4;96;1.44;1550.4;143
Ecuador;41;8.844;9.275;120.5;3614.8;8.945;101.6;04.07;3186.9;89.9;2.157;3186.9;74
Ecuador;41;10.461;11.288;345;3855.7;10.762;104.3;4.931;2239.5;91.6;1.3;2239.5;142
Ecuador;41;14.704;15.315;120.5;4699.2;14.861;104.5;4.819;1550.4;93.6;1.862;1550.4;106
Ecuador;41;19.377;20.024;120.5;3253.3;19.383;95.7;4.474;1722.7;82.5;2.453;1722.7;111
Ecuador;41;34.764;35.231;679;3735.2;34.766;103.7;4.248;3014.6;92.8;2.289;3014.6;81
Ecuador;41;35.77;36.166;567;4699.2;35.927;97.1;4.279;3273;85.1;2.322;3273;68
Ecuador;42;1.868;2.651;289.2;6434.3;2.078;111.4;5.186;1636.5;101.8;1.376;1636.5;135
Ecuador;42;07.05;7.291;361.5;3542.5;7.053;97.7;4.504;1636.5;87.6;2.563;1636.5;41
Ecuador;42;10.032;10.876;433.8;5494.4;10.379;114.2;4.655;1722.7;104.7;1.267;1722.7;145
Ecuador;42;18.739;18.919;361.5;3759.3;18.779;95.7;4.218;1550.4;85.6;2.451;1550.4;31
Ecuador;42;20.908;21.661;578.4;4193.1;21.2;111.9;4.221;1550.4;103.1;1.266;1550.4;130
Ecuador;42;15.464;15.731;544.4;3085.2;15.505;107.2;3.435;1550.4;98;1.253;1550.4;46
Ecuador;42;16.372;16.906;363;2994.4;16.393;110.1;4.033;1550.4;99.9;1.313;1550.4;92
Ecuador;42;15.464;18;672;3085.2;18;107.2;5;1550.4;98;1.253;1550.4;46
Ecuador;42;16.372;16.906;363;2994.4;16.393;110.1;4.033;1550.4;99.9;1.313;1550.4;92
Ecuador;42;30.066;30.548;361.5;3687;30.157;109.3;4.246;1722.7;99.3;1.419;1722.7;83
Ecuador;43;02.03;2.804;272.2;3720.4;2.583;109.5;4.028;1550.4;98.5;1.367;1550.4;134
Ecuador;43;3.686;4.54;272.2;2177.8;3.762;112.7;3.767;1550.4;100.3;1.244;1550.4;148
Ecuador;43;6.276;6.917;998.1;2540.7;6.281;108.3;2.847;1550.4;97.8;1.25;1550.4;110
Ecuador;43;7.959;8.867;635.2;3538.9;7.97;112.9;4.129;1636.5;102.3;1.338;1636.5;156
Ecuador;43;10.069;10.603;453.7;3085.2;10.461;106.7;3.781;1550.4;94.2;1.262;1550.4;92
Ecuador;43;11.965;12.767;907.4;2994.4;11.976;112.6;3.253;1636.5;102.3;1.243;1636.5;138
Ecuador;43;13.835;14.583;363;2994.4;13.903;112.7;3.577;1636.5;101.3;1.291;1636.5;189
Ecuador;43;15.464;15.731;544.4;3085.2;15.505;107.2;3.435;1550.4;98;1.253;1550.4;46
Ecuador;43;16.372;16.906;363;2994.4;16.393;110.1;4.033;1550.4;99.9;1.313;1550.4;92
Ecuador;43;24.5;24;432;3252;13;117;7;1145;84;1.2;3134.5;94
Ecuador;43;15.464;15.731;544.4;3085.2;15.505;107.2;3.435;1550.4;98;1.253;1550.4;46
Ecuador;43;16.372;16.906;363;2994.4;16.393;110.1;4.033;1550.4;99.9;1.313;1550.4;92
Ecuador;44;1.324;1;844.8;844.8;1.324;65.6;5.32;861.3;68.6;1;861.3;1
Ecuador;44;11.147;11.689;780.5;3317.3;11.157;100.1;4.325;1378.1;93.5;2.079;1378.1;
Ecuador;44;1.016;1.231;1098.3;5491.4;1.056;114.5;4.194;1464.3;104.3;1.669;1464.3;38
Ecuador;44;2.76;3.171;1098.3;5237.9;2.879;115.5;4.615;1550.4;104.4;2.066;1550.4;71
Ecuador;44;42;3.171;1098.3;5237.9;2.879;115.5;4.615;1550.4;104.4;2.066;1550.4;71
Ecuador;44;4.751;5.171;591.4;3970.7;4.824;112.8;4.523;1464.3;102.8;1.998;1464.3;72
Ecuador;44;3;3.171;1093;5237.9;2.879;115.5;4.615;1550.4;104.4;2.066;1550.4;71
Ecuador;44;6.731;7.347;337.9;5237.9;6.769;113.5;4.588;1636.5;101.4;1.982;1636.5;106
Ecuador;44;7.644;8.013;675.9;4731;7.668;107.5;4.452;1550.4;95.7;1.728;1550.4;64
Ecuador;44;8.957;9.501;506.9;5406.9;9.033;114.8;4.894;3531.4;104.5;1.651;3531.4;93
Ecuador;45;1.127;1.932;846.2;3384.7;1.428;112;4.568;1378.1;100;1.271;1378.1;138
Ecuador;45;2.979;4.509;1194.6;3135.8;3.088;115.4;4.159;1378.1;104.7;1.255;1378.1;263
Ecuador;45;5.556;6.441;995.5;3086;5.77;110;4.12;1378.1;100.6;1.617;1378.1;152
Ecuador;45;7.166;8.696;547.5;3334.9;7.477;112.6;4.601;1464.3;100.6;1.445;1464.3;263
Ecuador;45;10.87;12.158;1045.3;3135.8;11.047;118;4.155;1378.1;106;1.282;1378.1;222
Ecuador;45;18.438;20.048;945.7;3086;18.646;116.9;4.225;1464.3;105.8;1.316;1464.3;277
Ecuador;45;22.786;24.557;746.6;3086;24.352;113.2;4.442;1464.3;100.9;1.352;1464.3;305
Ecuador;45;27.053;28.744;846.2;3086;27.852;113.2;4.278;1378.1;100.5;1.401;1378.1;291
Ecuador;45;30.999;32.77;547.5;2837.1;32.763;111.9;4.302;1808.8;99.9;1.241;1808.8;306
Ecuador;45;36.313;38.084;696.8;3135.8;36.618;118.2;4.392;1464.3;106.2;1.225;1464.3;305
Ecuador;46;1.736;3.098;448.2;4750.6;1.945;114.3;4.25;1636.5;102.4;1.325;1636.5;234
Ecuador;46;3.926;4.674;268.9;4033.5;4.36;108.4;4.267;1550.4;97.5;1.344;1550.4;129
Ecuador;46;5.208;5.796;123;3226.8;5.23;94;4.401;1550.4;77.7;2.703;1550.4;101
Ecuador;46;6.223;7.131;179.3;4033.5;6.235;111;4.303;1550.4;101.3;1.333;1550.4;156
Ecuador;46;7.959;8.867;179.3;4212.8;7.97;112.9;4.391;1636.5;102.3;1.374;1636.5;156
Ecuador;46;9.962;10.817;621;4840.2;9.973;112.6;4.455;1636.5;101.3;1.427;1636.5;147
Ecuador;46;12.286;13.301;257;4392.1;12.649;107.5;4.441;1550.4;95.4;1.422;1550.4;175
Ecuador;46;13.942;14.903;448.2;3854.3;13.955;110.8;3.976;1550.4;98.6;1.418;1550.4;166
Ecuador;46;16.319;17.708;543;3226.8;16.393;113.5;4.347;1550.4;99.9;1.327;1550.4;239
Ecuador;46;18.669;20.165;673;4571.3;20.137;112.4;4.635;1722.7;99.5;1.394;1722.7;257
Ecuador;47;1.687;2.681;195.1;5268.6;2.078;111.4;4.859;1636.5;101.8;1.372;1636.5;171
Ecuador;47;6.778;7.411;195.1;3414.8;07.03;105.9;4.581;1636.5;99.6;1.36;1636.5;109
Ecuador;47;10.243;10.876;878.1;4292.9;10.379;114.1;4.349;1722.7;104.7;1.25;1722.7;109
Ecuador;47;11;13;858;3202.3;18.332;117.9;4.329;1722.7;104.5;1.253;1722.7;87
Ecuador;47;11.147;11.689;780.5;3317.3;11.157;100.1;4.325;1378.1;93.5;2.079;1378.1;93
Ecuador;47;17.286;19.271;457.5;3202.3;18.332;117.9;4.329;1722.7;104.5;1.253;1722.7;342
Ecuador;47;20.673;21.841;732;3751.2;20.921;115.8;4.655;1722.7;101.6;1.308;1722.7;201
Ecuador;47;12.924;13.436;97.6;3414.8;12.957;107.6;4.744;1722.7;99.2;1.266;1722.7;88
Ecuador;47;18.618;19.281;195.1;3707.5;18.68;108;4.485;1550.4;100.5;1.378;1550.4;114
Ecuador;47;21.118;21.992;453;4292.9;21.2;112.2;4.645;1550.4;103.1;1.283;1550.4;151
Ecuador;48;1.629;2.551;830.7;3322.6;2.067;112.5;4.077;1550.4;100.4;1.273;1550.4;159
Ecuador;48;3.044;3.901;604.1;3624.7;3.582;111.1;4.11;1722.7;99.2;1.273;1722.7;148
Ecuador;48;4.18;4.887;906.2;3700.2;4.412;113.5;3.719;1378.1;101.9;1.394;1378.1;121
Ecuador;48;11.147;11.689;780.5;3317.3;11.157;100.1;4.325;1378.1;93.5;2.079;1378.1;53
Ecuador;48;5.423;5.723;302.1;3926.7;5.7;106.8;4.178;1722.7;98.6;1.436;1722.7;51
Ecuador;48;4.18;4.887;906.2;3700.2;4.412;113.5;3.719;1378.1;101.9;1.394;1378.1;121
Ecuador;48;5.24;4.887;983;3700.2;4.412;113.5;3.719;1378.1;101.9;1.394;1378.1;121
Ecuador;48;7.074;7.781;453.1;3624.7;7.239;111.2;4.444;1550.4;101.9;1.326;1550.4;122
Ecuador;48;8.896;9.56;755.1;3926.7;9.056;116.5;3.678;1378.1;104.5;1.361;1378.1;114
Ecuador;48;9.903;10.289;302.1;3473.6;9.944;106.4;3.771;1550.4;95;1.42;1550.4;67
Ecuador;48;11.296;11.961;830.7;3398.1;11.894;110.6;3.812;1464.3;98.4;1.293;1464.3;115
Ecuador;49;1.65;2.294;336.6;3871.4;2.067;110;4.371;1550.4;100.4;1.326;1550.4;111
Ecuador;49;2.572;3.387;589.1;3450.6;3.088;108.4;04.06;1550.4;96.1;1.275;1550.4;140
Ecuador;49;4.094;4.801;673.3;4123.9;4.412;113.7;4.134;1378.1;101.9;1.343;1378.1;122
Ecuador;49;5.552;6.152;84.2;3450.6;5.7;108.5;4.469;1722.7;98.6;1.357;1722.7;103
Ecuador;49;7.009;7.609;305;3198.1;7.239;110.8;4.421;1550.4;101.9;1.239;1550.4;103
Ecuador;49;8.145;8.96;252.5;3029.8;8.458;108.8;4.235;1722.7;99.3;1.214;1722.7;140
Ecuador;49;9.324;10.246;589.1;3282.3;9.369;113.6;3.689;1722.7;102.5;1.316;1722.7;159
Ecuador;49;11.146;12.389;420.8;3113.9;11.25;115.7;4.292;1378.1;105.3;1.258;1378.1;214
